Country Name,Country Code,1990,1991
Aruba,ABW,91,91.3
Andorra,AND,100,100
Afghanistan,AFG,,21.2
Angola,AGO,45.7,45.8
Albania,ALB,,
Arab World,ARB,83.34590731,83.64372819
United Arab Emirates,ARE,99.7,99.7
Argentina,ARG,93.8,94.1
Armenia,ARM,,
American Samoa,ASM,93.6,94
Antigua and Barbuda,ATG,97.4,97.5
Australia,AUS,100,100
Austria,AUT,100,100
Azerbaijan,AZE,69.1,69
Burundi,BDI,68.8,69.1
Belgium,BEL,100,100
Benin,BEN,57.1,58.1
Burkina Faso,BFA,43.6,43.7
Bangladesh,BGD,68.1,68.9
Bulgaria,BGR,99.9,99.9
Bahrain,BHR,94.9,94.9
"Bahamas, The",BHS,,
Bosnia and Herzegovina,BIH,97.1,97.1
Belarus,BLR,99.5,99.5
Belize,BLZ,72.9,74.1
Bermuda,BMU,,
Bolivia,BOL,68.2,69.5
Brazil,BRA,88.5,89
Barbados,BRB,96.1,96.3
Brunei Darussalam,BRN,,
Bhutan,BTN,72,72.2
Botswana,BWA,92.2,92.8
Central African Republic,CAF,58.8,58.8
Canada,CAN,99.8,99.8
Central Europe and the Baltics,CEB,91.60158942,91.95177983
Switzerland,CHE,100,100
Channel Islands,CHI,,
Chile,CHL,90.4,90.9
China,CHN,66.9,68.3
Cote d'Ivoire,CIV,75.9,76.1
Cameroon,CMR,51.3,52.3
"Congo, Rep.",COG,,
Colombia,COL,88.4,88.6
Comoros,COM,90.1,90.1
Cabo Verde,CPV,,
Costa Rica,CRI,92.9,93.1
Caribbean small states,CSS,90.29492927,90.46538438
Cuba,CUB,,
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,100,100
Czech Republic,CZE,99.8,99.8
Germany,DEU,100,100
Djibouti,DJI,78.1,78.1
Dominica,DMA,,
Denmark,DNK,100,100
Dominican Republic,DOM,87.3,87.2
Algeria,DZA,91.5,91.6
East Asia & Pacific (developing only),EAP,68.53199061,69.71467427
East Asia & Pacific (all income levels),EAS,71.18797578,72.66374818
Europe & Central Asia (developing only),ECA,87.27408049,87.51964275
Europe & Central Asia (all income levels),ECS,95.49661941,95.58754203
Ecuador,ECU,73.8,74.4
"Egypt, Arab Rep.",EGY,93.4,93.7
Euro area,EMU,99.56593043,99.57941092
Eritrea,ERI,47.3,47.3
Spain,ESP,99.9,99.9
Estonia,EST,99,98.9
Ethiopia,ETH,13.2,13.4
European Union,EUU,97.88678988,97.98542769
Fragile and conflict affected situations,FCS,59.89129205,58.39813681
Finland,FIN,100,100
Fiji,FJI,86,86.2
France,FRA,100,100
Faeroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,91,91
Gabon,GAB,,
United Kingdom,GBR,100,100
Georgia,GEO,85.4,85.3
Ghana,GHA,55.5,57.1
Guinea,GIN,52.4,53.4
"Gambia, The",GMB,75.8,76.5
Guinea-Bissau,GNB,35.9,37.5
Equatorial Guinea,GNQ,,
Greece,GRC,97.6,97.7
Grenada,GRD,96.5,96.5
Greenland,GRL,100,100
Guatemala,GTM,76.7,77.4
Guam,GUM,99.7,99.6
Guyana,GUY,79.2,79.2
High income,HIC,97.7340363,97.48046764
"Hong Kong SAR, China",HKG,,
Honduras,HND,73.1,73.9
Heavily indebted poor countries (HIPC),HPC,45.21937362,44.94531862
Croatia,HRV,98.2,98.2
Haiti,HTI,61.9,62.4
Hungary,HUN,96.1,96.3
Indonesia,IDN,69.5,70.3
Isle of Man,IMN,,
India,IND,70.5,71.5
Not classified,INX,,
Ireland,IRL,96.4,96.4
"Iran, Islamic Rep.",IRN,92.2,92.2
Iraq,IRQ,78.3,78.2
Iceland,ISL,100,100
Israel,ISR,100,100
Italy,ITA,100,100
Jamaica,JAM,93.1,93.2
Jordan,JOR,96.3,96.4
Japan,JPN,100,100
